"spp","site","n_trees","n_crop","prop_crop","max_crop_dbh","mean_crop_dbh","dbh_50pct","effective_dbh_threshold","scenario","factor_type","factor_value"
"BM","richnhw",912,246,0.269736842105263,17,12.739837398374,10,10,"lev_0.75","lev",0.75
"PB","clayplain",912,207,0.226973684210526,17,12.5217391304348,10,10,"lev_0.75","lev",0.75
"PB","granitictill",912,199,0.218201754385965,19,12.8994974874372,10,10,"lev_0.75","lev",0.75
"PB","mountaintill",912,182,0.199561403508772,19,13.3351648351648,13,13,"lev_0.75","lev",0.75
"PB","richnhw",912,177,0.194078947368421,18,13.271186440678,13,13,"lev_0.75","lev",0.75
"RM","clayplain",912,324,0.355263157894737,19,13.2067901234568,10,10,"lev_0.75","lev",0.75
"RM","granitictill",912,319,0.349780701754386,19,13.3542319749216,10,10,"lev_0.75","lev",0.75
"RM","mountaintill",912,324,0.355263157894737,20,13.6975308641975,10,10,"lev_0.75","lev",0.75
"RM","richnhw",912,325,0.356359649122807,20,13.7261538461538,10,10,"lev_0.75","lev",0.75
"SO","clayplain",912,324,0.355263157894737,20,13.1018518518519,10,10,"lev_0.75","lev",0.75
"SO","granitictill",912,340,0.37280701754386,20,13.35,10,10,"lev_0.75","lev",0.75
"SO","mountaintill",912,348,0.381578947368421,21,13.6063218390805,10,10,"lev_0.75","lev",0.75
"SO","richnhw",912,349,0.382675438596491,20,13.4699140401146,10,10,"lev_0.75","lev",0.75
"WO","clayplain",912,391,0.428728070175439,20,13.7979539641944,10,10,"lev_0.75","lev",0.75
"WO","granitictill",912,411,0.450657894736842,21,14.0389294403893,10,10,"lev_0.75","lev",0.75
"WO","mountaintill",912,407,0.446271929824561,21,14.0810810810811,10,10,"lev_0.75","lev",0.75
"WO","richnhw",912,403,0.441885964912281,20,14.0272952853598,10,10,"lev_0.75","lev",0.75
"WP","clayplain",912,18,0.0197368421052632,11,10.1666666666667,28,28,"lev_0.75","lev",0.75
"WP","granitictill",912,12,0.0131578947368421,11,10.25,28,28,"lev_0.75","lev",0.75
"WP","mountaintill",912,12,0.0131578947368421,11,10.5,28,28,"lev_0.75","lev",0.75
"WP","richnhw",912,9,0.00986842105263158,11,10.3333333333333,28,28,"lev_0.75","lev",0.75
"YB","clayplain",342,234,0.684210526315789,24,16.0598290598291,10,10,"lev_0.75","lev",0.75
"YB","granitictill",342,181,0.529239766081871,21,14.646408839779,10,10,"lev_0.75","lev",0.75
"YB","mountaintill",342,182,0.532163742690059,21,14.7252747252747,10,10,"lev_0.75","lev",0.75
"YB","richnhw",342,245,0.716374269005848,25,16.3673469387755,10,10,"lev_0.75","lev",0.75
"BM","clayplain",912,226,0.24780701754386,17,12.3274336283186,10,10,"lev_1.25","lev",1.25
"BM","granitictill",912,202,0.221491228070175,18,12.4257425742574,10,10,"lev_1.25","lev",1.25
"BM","mountaintill",912,207,0.226973684210526,17,12.7246376811594,10,10,"lev_1.25","lev",1.25
"BM","richnhw",912,195,0.213815789473684,17,12.9230769230769,10,10,"lev_1.25","lev",1.25
"PB","clayplain",912,162,0.177631578947368,17,12.5802469135802,10,10,"lev_1.25","lev",1.25
"PB","granitictill",912,151,0.165570175438596,19,13.2119205298013,28,28,"lev_1.25","lev",1.25
"PB","mountaintill",912,119,0.130482456140351,19,13.8991596638655,28,28,"lev_1.25","lev",1.25
"PB","richnhw",912,104,0.114035087719298,17,13.6153846153846,28,28,"lev_1.25","lev",1.25
"RM","clayplain",912,302,0.331140350877193,19,13.1953642384106,10,10,"lev_1.25","lev",1.25
"RM","granitictill",912,275,0.301535087719298,19,13.3927272727273,10,10,"lev_1.25","lev",1.25
"RM","mountaintill",912,256,0.280701754385965,20,13.9765625,10,10,"lev_1.25","lev",1.25
"RM","richnhw",912,243,0.266447368421053,19,13.9135802469136,12,12,"lev_1.25","lev",1.25
"SO","clayplain",912,313,0.343201754385965,20,13.0575079872204,10,10,"lev_1.25","lev",1.25
"SO","granitictill",912,318,0.348684210526316,20,13.3018867924528,10,10,"lev_1.25","lev",1.25
"SO","mountaintill",912,307,0.336622807017544,21,13.7752442996743,10,10,"lev_1.25","lev",1.25
"SO","richnhw",912,293,0.321271929824561,20,13.6075085324232,10,10,"lev_1.25","lev",1.25
"WO","clayplain",912,385,0.422149122807018,20,13.774025974026,10,10,"lev_1.25","lev",1.25
"WO","granitictill",912,402,0.440789473684211,21,14.0273631840796,10,10,"lev_1.25","lev",1.25
"WO","mountaintill",912,382,0.418859649122807,21,14.0916230366492,10,10,"lev_1.25","lev",1.25
"WO","richnhw",912,368,0.403508771929825,20,13.9972826086957,10,10,"lev_1.25","lev",1.25
"WP","clayplain",912,18,0.0197368421052632,11,10.1666666666667,28,28,"lev_1.25","lev",1.25
"WP","granitictill",912,3,0.00328947368421053,10,10,28,28,"lev_1.25","lev",1.25
"WP","mountaintill",912,0,0,NA,NA,NA,0,"lev_1.25","lev",1.25
"WP","richnhw",912,0,0,NA,NA,NA,0,"lev_1.25","lev",1.25
"YB","clayplain",342,233,0.681286549707602,24,16.0257510729614,10,10,"lev_1.25","lev",1.25
"YB","granitictill",342,178,0.52046783625731,21,14.6011235955056,10,10,"lev_1.25","lev",1.25
"YB","mountaintill",342,182,0.532163742690059,21,14.7252747252747,10,10,"lev_1.25","lev",1.25
"YB","richnhw",342,241,0.704678362573099,24,16.2448132780083,10,10,"lev_1.25","lev",1.25
"BM","clayplain",912,218,0.239035087719298,17,12.3165137614679,10,10,"lev_1.5","lev",1.5
"BM","granitictill",912,184,0.201754385964912,18,12.5108695652174,10,10,"lev_1.5","lev",1.5
"BM","mountaintill",912,185,0.202850877192982,17,12.7783783783784,10,10,"lev_1.5","lev",1.5
"BM","richnhw",912,174,0.190789473684211,17,12.9022988505747,10,10,"lev_1.5","lev",1.5
"PB","clayplain",912,145,0.158991228070175,17,12.6827586206897,13,13,"lev_1.5","lev",1.5
"PB","granitictill",912,129,0.141447368421053,19,13.4108527131783,28,28,"lev_1.5","lev",1.5
"PB","mountaintill",912,98,0.107456140350877,19,14.1020408163265,28,28,"lev_1.5","lev",1.5
"PB","richnhw",912,79,0.0866228070175439,17,13.7848101265823,28,28,"lev_1.5","lev",1.5
"RM","clayplain",912,292,0.320175438596491,19,13.222602739726,10,10,"lev_1.5","lev",1.5
"RM","granitictill",912,255,0.279605263157895,19,13.4980392156863,10,10,"lev_1.5","lev",1.5
"RM","mountaintill",912,225,0.246710526315789,20,14.0977777777778,13,13,"lev_1.5","lev",1.5
"RM","richnhw",912,214,0.234649122807018,19,14.0373831775701,14,14,"lev_1.5","lev",1.5
"SO","clayplain",912,308,0.337719298245614,20,13.0324675324675,10,10,"lev_1.5","lev",1.5
"SO","granitictill",912,305,0.334429824561404,20,13.3508196721311,10,10,"lev_1.5","lev",1.5
"SO","mountaintill",912,277,0.303728070175439,21,13.8050541516245,10,10,"lev_1.5","lev",1.5
"SO","richnhw",912,267,0.292763157894737,20,13.6179775280899,10,10,"lev_1.5","lev",1.5
"WO","clayplain",912,378,0.414473684210526,20,13.7724867724868,10,10,"lev_1.5","lev",1.5
"WO","granitictill",912,390,0.427631578947368,21,13.9769230769231,10,10,"lev_1.5","lev",1.5
"WO","mountaintill",912,372,0.407894736842105,21,14.0725806451613,10,10,"lev_1.5","lev",1.5
"WO","richnhw",912,354,0.388157894736842,20,13.9858757062147,10,10,"lev_1.5","lev",1.5
"WP","clayplain",912,12,0.0131578947368421,11,10.25,28,28,"lev_1.5","lev",1.5
"WP","granitictill",912,0,0,NA,NA,NA,0,"lev_1.5","lev",1.5
"WP","mountaintill",912,0,0,NA,NA,NA,0,"lev_1.5","lev",1.5
"WP","richnhw",912,0,0,NA,NA,NA,0,"lev_1.5","lev",1.5
